user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$
1458098,12,7,5,303.5,8,2,US,12,89.751,Female,61+,1
1462500,17,9,6,190.5,8,6,US,7,110.744,Male,31-45,1
1465284,12,4,6,239,9,3,US,15,99.771,Female,46-60,1
1465426,14,3,4,214,10,4,US,23,93,Female,46-60,1
1466263,15,4,5,231,7,5,AU,6,92.56,Female,31-45,1
1467021,22,7,6,241.5,7,5,US,13,102.082,Female,46-60,1
1467106,6,4,5,260.5,6,2,CA,23,78.523,Female,61+,1
1468840,15,10,5,206,8,5,US,12,104.744,Female,31-45,1
1469357,9,6,3,260.5,7,3,US,18,70.246,Male,31-45,1
1473,7,15,6,208.5,9,3,US,21,104.887,Male,46-60,1
1477461,17,10,6,202.5,9,4,US,1,115.071,Male,18-30,1
1479195,15,8,4,294.5,7,2,US,8,85.873,Female,46-60,1
1479433,15,1,3,213,8,3,US,11,79.175,Female,46-60,1
1479907,17,9,5,194.5,10,5,US,8,119.901,Male,18-30,1
1482068,19,7,6,192.5,9,6,US,21,119.512,Female,18-30,1
1482627,18,11,6,203.5,9,4,US,14,123.067,Male,18-30,1
1483076,24,14,6,218,9,4,US,15,118.805,Male,18-30,1
1483939,15,11,5,191.5,9,5,CA,20,117.112,Male,31-45,1
1488224,14,2,6,178.5,8,3,CA,19,104.025,Female,31-45,1
1488902,14,9,4,272.5,7,2,US,16,83.244,Male,61+,1
1490101,14,6,4,228,8,4,US,13,100.069,Female,46-60,1
1491184,10,7,4,228.5,8,3,US,16,92.225,Female,46-60,1
1493109,13,8,5,254.5,9,6,US,17,99,Female,31-45,1
1494004,17,10,5,232,9,3,US,9,103.426,Female,61+,1
1494089,18,12,6,216,9,6,US,8,122.474,Female,31-45,1
1494671,8,4,4,293.5,8,6,US,14,79.362,Male,61+,1
1496582,16,6,6,267.5,8,4,US,10,106.458,Female,46-60,1
1497181,23,17,9,207,8,5,US,9,140.844,Male,18-30,1
1497521,10,7,5,188,8,4,US,13,98.278,Male,31-45,1
1497949,7,2,6,210,6,6,US,10,82.292,Female,61+,1
1498990,12,5,7,212,10,4,US,9,112.965,Female,61+,1
1500495,11,5,6,251,8,4,US,21,93.65,Female,46-60,1
1504530,18,5,6,237.5,7,3,US,17,104.025,Female,46-60,1
1506274,21,10,7,203.5,10,3,US,15,129.81,Male,18-30,1
1506304,21,11,8,180.5,10,4,US,15,136.344,Male,18-30,1
1507833,10,4,5,258,9,3,US,21,90.515,Female,46-60,1
1507993,16,9,4,228.5,9,4,US,20,109.764,Female,46-60,1
1508880,16,5,5,259.5,8,7,US,13,98.143,Female,61+,1
1509135,24,9,5,248,8,4,CA,8,101.752,Female,61+,1
1515902,15,12,6,263.5,8,8,US,8,105.377,Female,46-60,1
1516028,19,11,5,242,9,4,US,11,116.016,Male,46-60,1
1517934,15,9,5,255,9,5,US,19,111.62,Male,18-30,1
1519395,13,4,5,243.5,8,2,CA,13,92.56,Female,46-60,1
1519638,16,8,6,213,7,4,US,8,95.621,Male,61+,1
1520285,24,15,8,228.5,8,6,US,13,125.159,Male,31-45,1
1521853,22,6,5,190.5,7,4,US,11,107.253,Male,18-30,1
1527713,14,4,4,226.5,7,3,US,14,88.953,Female,46-60,1
1531930,7,11,6,217,9,99,CA,16,105.208,Female,31-45,1
1533170,16,9,6,203.5,9,3,AU,17,106.003,Female,46-60,1
1534158,14,9,4,191.5,9,4,US,19,106.458,Male,46-60,1
1534300,18,7,5,248.5,7,3,US,21,91.775,Female,46-60,1
1534479,8,1,5,262,8,9,AU,20,83.94, ,61+,1
1534592,17,13,6,177.5,9,6,US,16,130.359,Male,18-30,1
1534756,17,4,4,177.5,9,3,US,22,109.147,Male,18-30,1
1537245,13,12,7,253.5,9,4,US,7,112.965,Male,18-30,1
1537253,15,17,7,271.5,9,4,US,12,122.641,Female,18-30,1
1537386,17,8,5,168.5,9,6,CA,8,111.817,Female,46-60,1
1538966,12,2,6,185.5,10,5,US,0,108.336,Male,18-30,1
1540207,16,10,5,245.5,9,4,US,1,103.874,Female,31-45,1
1541332,11,3,7,231,9,4,US,10,104.166,Male,18-30,1
1541926,12,5,4,231.5,8,2,CA,16,88.005,Female,46-60,1
1543340,11,4,3,237.5,7,5,US,10,76.556,Female,61+,1
1543763,15,9,4,198,8,7,US,15,101.752,Female,46-60,1
1544050,10,11,6,182,7,4,US,11,100.674,Male,31-45,1
1544148,12,6,6,222,7,3,US,17,92.706,Female,46-60,1
1544243,14,5,5,258.5,8,6,AU,20,89.751,Male,18-30,1
1544258,19,9,4,250.5,8,7,US,11,104.744,Female,61+,1
1546298,5,6,6,264.5,8,4,US,17,93.65,Female,46-60,1
1549500,20,15,7,206.5,10,4,US,13,137.711,Male,18-30,1
1549803,15,7,6,226.5,9,6,US,22,101.916,Female,61+,1
1550414,17,10,6,211.5,9,4,AU,17,115.225,Female,46-60,1
1551105,22,8,6,282.5,9,4,CA,14,110.575,Female,46-60,1
1554443,17,9,6,208,9,4,US,21,117.931,Male,31-45,1
1555455,14,10,6,194,9,3,CA,18,107.732,Male,18-30,1
1557887,15,10,6,205.5,8,4,US,11,120.426,Male,18-30,1
